Date,USDCAD
2001-05-10,1.5426
2001-05-11,1.5502
2001-05-14,1.5524
2001-05-15,1.5452
2001-05-16,1.5386
2001-05-17,1.5357
2001-05-18,1.5333
2001-05-21,1.5367
2001-05-22,1.54
2001-05-23,1.5508
2001-05-24,1.546
2001-05-25,1.545
2001-05-28,1.5434
2001-05-29,1.536
2001-05-30,1.5428
2001-05-31,1.5378
2001-06-01,1.5362
2001-06-04,1.5362
2001-06-05,1.5308
2001-06-06,1.5232
2001-06-07,1.5212
2001-06-08,1.5172
2001-06-11,1.519
2001-06-12,1.5238
2001-06-13,1.5163
2001-06-14,1.52
2001-06-15,1.5238
2001-06-18,1.5336
2001-06-19,1.5337
2001-06-20,1.5328
2001-06-21,1.5227
2001-06-22,1.5222
2001-06-25,1.5171
2001-06-26,1.5167
2001-06-27,1.5166
2001-06-28,1.5219
2001-06-29,1.5142
2001-07-02,1.5135
2001-07-03,1.5106
2001-07-04,1.5108
2001-07-05,1.5124
2001-07-06,1.5222
2001-07-09,1.5211
2001-07-10,1.5196
2001-07-11,1.5255
2001-07-12,1.5284
2001-07-13,1.536
2001-07-16,1.5374
2001-07-17,1.5379
2001-07-18,1.5368
2001-07-19,1.5402
2001-07-20,1.5428
2001-07-23,1.5446
2001-07-24,1.5396
2001-07-25,1.5362
2001-07-26,1.5333
2001-07-27,1.5312
2001-07-30,1.5294
2001-07-31,1.533
2001-08-01,1.536
2001-08-02,1.534
2001-08-03,1.5288
2001-08-06,1.5249
2001-08-07,1.5351
2001-08-08,1.5337
2001-08-09,1.5387
2001-08-10,1.539
2001-08-13,1.5376
2001-08-14,1.5351
2001-08-15,1.5268
2001-08-16,1.5374
2001-08-17,1.5426
2001-08-20,1.5447
2001-08-21,1.5479
2001-08-22,1.5406
2001-08-23,1.5397
2001-08-24,1.5387
2001-08-27,1.5397
2001-08-28,1.5388
2001-08-29,1.545
2001-08-30,1.5445
2001-08-31,1.5507
2001-09-03,1.5508
2001-09-04,1.5583
2001-09-05,1.5561
2001-09-06,1.5568
2001-09-07,1.565
2001-09-10,1.5626
2001-09-11,1.5642
2001-09-12,1.5615
2001-09-13,1.5659
2001-09-14,1.564
2001-09-17,1.5698
2001-09-18,1.572
2001-09-19,1.5685
2001-09-20,1.5714
2001-09-21,1.571
2001-09-24,1.5697
2001-09-25,1.57
2001-09-26,1.5717
2001-09-27,1.5775
2001-09-28,1.5791
2001-10-01,1.5718
2001-10-02,1.5672
2001-10-03,1.5685
2001-10-04,1.5689
2001-10-05,1.5618
2001-10-08,1.5616
2001-10-09,1.5652
2001-10-10,1.5672
2001-10-11,1.5644
2001-10-12,1.5625
2001-10-15,1.5575
2001-10-16,1.5652
2001-10-17,1.5704
2001-10-18,1.5773
2001-10-19,1.5743
2001-10-22,1.5783
2001-10-23,1.5718
2001-10-24,1.5738
2001-10-25,1.5733
2001-10-26,1.576
2001-10-29,1.5746
2001-10-30,1.578
2001-10-31,1.5884
2001-11-01,1.5952
2001-11-02,1.5913
2001-11-05,1.5928
2001-11-06,1.5921
2001-11-07,1.5984
2001-11-08,1.599
2001-11-09,1.6027
2001-11-12,1.6026
2001-11-13,1.5937
2001-11-14,1.5918
2001-11-15,1.5872
2001-11-16,1.589
2001-11-19,1.5882
2001-11-20,1.5948
2001-11-21,1.6004
2001-11-22,1.5995
2001-11-23,1.5988
2001-11-26,1.5998
2001-11-27,1.5929
2001-11-28,1.5839
2001-11-29,1.5805
2001-11-30,1.5727
2001-12-03,1.5766
2001-12-04,1.571
2001-12-05,1.5738
2001-12-06,1.5724
2001-12-07,1.5751
2001-12-10,1.5781
2001-12-11,1.5733
2001-12-12,1.5666
2001-12-13,1.569
2001-12-14,1.5609
2001-12-17,1.5666
2001-12-18,1.5735
2001-12-19,1.5741
2001-12-20,1.5785
2001-12-21,1.5849
2001-12-24,1.5933
2001-12-25,1.5944
2001-12-26,1.6006
2001-12-27,1.5972
2001-12-28,1.5902
2001-12-31,1.5917
2002-01-02,1.5973
2002-01-03,1.5977
2002-01-04,1.5944
2002-01-07,1.5988
2002-01-08,1.5955
2002-01-09,1.5964
2002-01-10,1.5985
2002-01-11,1.5964
2002-01-14,1.5945
2002-01-15,1.5887
2002-01-16,1.5984
2002-01-17,1.6098
2002-01-18,1.6142
2002-01-21,1.6125
2002-01-22,1.6078
2002-01-23,1.6011
2002-01-24,1.6022
2002-01-25,1.6099
2002-01-28,1.5988
2002-01-29,1.593
2002-01-30,1.5879
2002-01-31,1.5858
2002-02-01,1.5899
2002-02-04,1.5962
2002-02-05,1.5963
2002-02-06,1.6046
2002-02-07,1.5985
2002-02-08,1.5975
2002-02-11,1.5898
2002-02-12,1.5911
2002-02-13,1.5904
2002-02-14,1.5923
2002-02-15,1.5891
2002-02-18,1.5927
2002-02-19,1.59
2002-02-20,1.5885
2002-02-21,1.5901
2002-02-22,1.5955
2002-02-25,1.6002
2002-02-26,1.609
2002-02-27,1.6088
2002-02-28,1.601
2002-03-01,1.5915
2002-03-04,1.5902
2002-03-05,1.5876
2002-03-06,1.5815
2002-03-07,1.5825
2002-03-08,1.5863
2002-03-11,1.5831
2002-03-12,1.585
2002-03-13,1.5951
2002-03-14,1.5907
2002-03-15,1.5836
2002-03-18,1.5841
2002-03-19,1.584
2002-03-20,1.58
2002-03-21,1.5776
2002-03-22,1.5772
2002-03-25,1.5836
2002-03-26,1.5917
2002-03-27,1.5947
2002-03-28,1.5924
2002-03-29,1.5952
2002-04-01,1.5976
2002-04-02,1.5928
2002-04-03,1.5892
2002-04-04,1.593
2002-04-05,1.5891
2002-04-08,1.595
2002-04-09,1.5953
2002-04-10,1.5921
2002-04-11,1.588
2002-04-12,1.5849
2002-04-15,1.5862
2002-04-16,1.5817
2002-04-17,1.5744
2002-04-18,1.575
2002-04-19,1.5717
2002-04-22,1.5701
2002-04-23,1.5724
2002-04-24,1.5673
2002-04-25,1.5647
2002-04-26,1.562
2002-04-29,1.5665
2002-04-30,1.5673
2002-05-01,1.5593
2002-05-02,1.5612
2002-05-03,1.5656
2002-05-06,1.5679
2002-05-07,1.5666
2002-05-08,1.5697
2002-05-09,1.5646
2002-05-10,1.5578
2002-05-13,1.5543
2002-05-14,1.5578
2002-05-15,1.5565
2002-05-16,1.5543
2002-05-17,1.5434
2002-05-20,1.5414
2002-05-21,1.5364
2002-05-22,1.5318
2002-05-23,1.5356
2002-05-24,1.532
2002-05-27,1.5328
2002-05-28,1.5305
2002-05-29,1.5344
2002-05-30,1.5338
2002-05-31,1.5325
2002-06-03,1.5269
2002-06-04,1.5312
2002-06-05,1.5324
2002-06-06,1.5325
2002-06-07,1.5318
2002-06-10,1.5394
2002-06-11,1.5353
2002-06-12,1.5349
2002-06-13,1.5388
2002-06-14,1.5465
2002-06-17,1.5463
2002-06-18,1.5456
2002-06-19,1.5403
2002-06-20,1.5273
2002-06-21,1.5201
2002-06-24,1.5205
2002-06-25,1.5148
2002-06-26,1.5189
2002-06-27,1.5105
2002-06-28,1.5185
2002-07-01,1.5157
2002-07-02,1.5262
2002-07-03,1.5312
2002-07-04,1.5276
2002-07-05,1.5221
2002-07-08,1.5231
2002-07-09,1.5117
2002-07-10,1.52
2002-07-11,1.525
2002-07-12,1.5333
2002-07-15,1.5385
2002-07-16,1.5375
2002-07-17,1.5393
