Date,Price,Open,High,Low,Vol.,Change %
04/04/2013,1.0124,1.0145,1.0168,1.0103,,-0.19%
04/03/2013,1.0143,1.0147,1.0157,1.0123,,0.00%
04/02/2013,1.0143,1.017,1.0171,1.0123,,-0.24%
04/01/2013,1.0167,1.0177,1.0184,1.0156,,-0.05%
03/29/2013,1.0172,1.0162,1.0183,1.0154,,0.11%
03/28/2013,1.0161,1.016,1.0176,1.0144,,0.02%
03/27/2013,1.0159,1.0161,1.0197,1.0148,,0.01%
03/26/2013,1.0158,1.0213,1.0223,1.0157,,-0.53%
03/25/2013,1.0212,1.0232,1.0238,1.0186,,-0.19%
03/22/2013,1.0231,1.0251,1.0265,1.0219,,-0.20%
03/21/2013,1.0251,1.026,1.0267,1.0199,,-0.08%
03/20/2013,1.0259,1.0267,1.0281,1.0236,,-0.07%
03/19/2013,1.0266,1.0221,1.0286,1.0211,,0.46%
03/18/2013,1.0219,1.0204,1.0252,1.0202,,0.26%
03/15/2013,1.0193,1.0223,1.0233,1.018,,-0.27%
03/14/2013,1.0221,1.0276,1.0285,1.0211,,-0.52%
03/13/2013,1.0274,1.0256,1.0297,1.0245,,0.18%
03/12/2013,1.0256,1.0259,1.0285,1.0248,,-0.01%
03/11/2013,1.0257,1.029,1.0296,1.0254,,-0.25%
03/08/2013,1.0283,1.0295,1.0316,1.0234,,-0.10%
03/07/2013,1.0293,1.032,1.0331,1.0284,,-0.25%
03/06/2013,1.0319,1.0269,1.0338,1.0254,,0.49%
03/05/2013,1.0269,1.0273,1.0295,1.0255,,-0.03%
03/04/2013,1.0272,1.0272,1.0311,1.0263,,0.05%
03/01/2013,1.0267,1.0307,1.0343,1.0261,,-0.35%
02/28/2013,1.0303,1.0229,1.0315,1.0216,,0.76%
02/27/2013,1.0225,1.0261,1.0279,1.0227,,-0.32%
02/26/2013,1.0258,1.0261,1.0304,1.024,,-0.02%
02/25/2013,1.026,1.0217,1.0279,1.0208,,0.46%
02/22/2013,1.0213,1.0185,1.0258,1.0158,,0.30%
02/21/2013,1.0182,1.0168,1.0209,1.0162,,0.17%
02/20/2013,1.0165,1.0114,1.0187,1.0109,,0.52%
02/19/2013,1.0112,1.0107,1.0139,1.0101,,0.08%
02/18/2013,1.0104,1.0064,1.0122,1.0057,,0.42%
02/15/2013,1.0062,1.001,1.0084,0.9999,,0.55%
02/14/2013,1.0007,1.0019,1.0025,0.9997,,-0.09%
02/13/2013,1.0016,1.0023,1.0046,1.001,,-0.04%
02/12/2013,1.002,1.0048,1.0088,1.0019,,-0.27%
02/11/2013,1.0047,1.0023,1.0084,1.0023,,0.24%
02/08/2013,1.0023,0.9979,1.0037,0.9968,,0.46%
02/07/2013,0.9977,0.9958,0.9996,0.9931,,0.21%
02/06/2013,0.9956,0.9958,0.9991,0.9947,,0.03%
02/05/2013,0.9953,0.999,0.9996,0.9952,,-0.34%
02/04/2013,0.9987,0.9968,0.9994,0.9947,,0.24%
02/01/2013,0.9963,0.9973,1.0006,0.9962,,-0.06%
01/31/2013,0.9969,1.0012,1.0036,0.9955,,-0.43%
01/30/2013,1.0012,1.0008,1.0054,1.0006,,0.04%
01/29/2013,1.0008,1.0063,1.0067,1.0005,,-0.51%
01/28/2013,1.0059,1.0058,1.0101,1.0058,,0.03%
01/25/2013,1.0056,1.0027,1.0101,1.0019,,0.32%
01/24/2013,1.0024,0.9992,1.0037,0.9987,,0.35%
01/23/2013,0.9989,0.9919,1.0006,0.9902,,0.75%
01/22/2013,0.9915,0.9929,0.9948,0.9908,,-0.11%
01/21/2013,0.9926,0.9919,0.994,0.9908,,0.10%
01/18/2013,0.9916,0.9859,0.9948,0.9851,,0.62%
01/17/2013,0.9855,0.986,0.9887,0.9841,,-0.01%
01/16/2013,0.9856,0.9843,0.9879,0.9837,,0.17%
01/15/2013,0.9839,0.9837,0.9868,0.983,,0.04%
01/14/2013,0.9835,0.9843,0.9868,0.9831,,-0.11%
01/11/2013,0.9846,0.9831,0.9855,0.9813,,0.16%
01/10/2013,0.983,0.9876,0.9882,0.9829,,-0.47%
01/09/2013,0.9876,0.9867,0.9882,0.9853,,0.12%
