Contract_ID,Contract_Date,Close_Date,Start_Spot,End_Spot,Contract_Forward,Contract_Forward_TC,Exposure,Hedged_Exposure,Fee,Partial_Hedged,Partial_Hedged_TC,Full_Hedged,Full_Hedged_TC,Unhedged,Spot_Change,Cum_Partial_Hedged,Cum_Partial_Hedged_TC,Cum_Full_Hedged,Cum_Full_Hedged_TC,Cum_Unhedged,Year
41,2011-05-02,2011-06-01,0.9502,0.9773,0.9495037088850032,0.9494037088850033,800000.0,400000.0,80.0,10561.483554001237,10441.483554001243,-557.0328919974443,-797.0328919974355,21679.99999999992,0.027099999999999902,-13538.858035920834,-18458.858035920664,-15317.716071841669,-25157.71607184131,-11760.000000000007,2011
42,2011-06-01,2011-07-01,0.9773,0.9585,0.9766001265717378,0.9765001265717378,800000.0,400000.0,80.0,-7799.949371304837,-7919.949371304832,-559.8987426097324,-799.8987426097235,-15039.999999999942,-0.018799999999999928,-21338.80740722567,-26378.807407225497,-15877.6148144514,-25957.614814451033,-26799.99999999995,2011
43,2011-07-01,2011-08-01,0.9585,0.9566,0.9577976209311428,0.9576976209311429,800000.0,400000.0,80.0,-1040.9516275428743,-1160.95162754287,-561.9032550857384,-801.9032550857296,-1520.0000000000102,-0.0019000000000000128,-22379.759034768547,-27539.759034768365,-16439.51806953714,-26759.518069536764,-28319.99999999996,2011
44,2011-08-01,2011-09-01,0.9566,0.9759,0.955978681166782,0.955878681166782,800000.0,400000.0,80.0,7471.472466712781,7351.472466712785,-497.05506657442555,-737.0550665744167,15439.999999999987,0.019299999999999984,-14908.286568055766,-20188.28656805558,-16936.573136111565,-27496.57313611118,-12879.999999999973,2011
45,2011-09-01,2011-10-03,0.9759,1.0545,0.9751523956234284,0.9750523956234284,800000.0,400000.0,80.0,31140.958249371353,31020.958249371357,-598.083501257296,-838.0835012572873,62880.0,0.0786,16232.671681315587,10832.671681315776,-17534.656637368862,-28334.656637368465,50000.00000000003,2011
46,2011-10-03,2011-11-01,1.0545,1.0198,1.0537886985559868,1.0536886985559868,800000.0,400000.0,80.0,-14164.520577605266,-14284.520577605263,-569.0411552105701,-809.0411552105613,-27759.999999999964,-0.03469999999999995,2068.151103710321,-3451.848896289486,-18103.69779257943,-29143.697792579027,22240.000000000065,2011
47,2011-11-01,2011-12-01,1.0198,1.0139,1.0190866452929177,1.0189866452929177,800000.0,400000.0,80.0,-2645.341882832941,-2765.341882832937,-570.6837656658693,-810.6837656658604,-4720.000000000013,-0.005900000000000016,-577.1907791226199,-6217.190779122423,-18674.3815582453,-29954.381558244888,17520.00000000005,2011
48,2011-12-01,2012-01-02,1.0139,1.0195,1.0132414040639577,1.0131414040639577,800000.0,400000.0,80.0,1976.5616255830842,1856.5616255830885,-526.876748833871,-766.8767488338622,4480.000000000039,0.005600000000000049,1399.3708464604642,-4360.629153539335,-19201.25830707917,-30721.25830707875,22000.00000000009,2011
49,2012-01-02,2012-02-01,1.0195,0.9988,1.0188632157966622,1.0187632157966622,800000.0,400000.0,80.0,-8534.71368133518,-8654.713681335177,-509.42736267032274,-749.4273626703139,-16560.00000000004,-0.02070000000000005,-7135.342834874717,-13015.342834874511,-19710.68566974949,-31470.685669749066,5440.000000000051,2012
50,2012-02-01,2012-03-01,0.9988,0.9856,0.9981262928234764,0.9980262928234764,800000.0,400000.0,80.0,-5549.482870609434,-5669.4828706094295,-538.9657412188775,-778.9657412188687,-10559.99999999999,-0.01319999999999999,-12684.82570548415,-18684.82570548394,-20249.65141096837,-32249.651410967934,-5119.99999999994,2012
51,2012-03-01,2012-04-02,0.9856,0.9905,0.9849352075144894,0.9848352075144894,800000.0,400000.0,80.0,1694.0830057957435,1574.0830057957478,-531.8339884085254,-771.8339884085167,3920.0000000000123,0.0049000000000000155,-10990.742699688408,-17110.742699688195,-20781.485399376896,-33021.48539937645,-1199.9999999999277,2012
52,2012-04-02,2012-05-01,0.9905,0.9858,0.9898071638534754,0.9897071638534755,800000.0,400000.0,80.0,-2157.134458609855,-2277.1344586098508,-554.2689172196801,-794.2689172196714,-3760.00000000003,-0.0047000000000000375,-13147.877158298263,-19387.877158298044,-21335.754316596576,-33815.75431659612,-4959.999999999958,2012
53,2012-05-01,2012-06-01,0.9858,1.0404,0.9850530450132392,0.9849530450132392,800000.0,400000.0,80.0,21541.218005295672,21421.218005295676,-597.5639894086448,-837.5639894086361,43679.999999999985,0.05459999999999998,8393.34084699741,2033.3408469976312,-21933.31830600522,-34653.31830600475,38720.00000000003,2012
54,2012-06-01,2012-07-02,1.0404,1.0166,1.0396462752935298,1.0395462752935298,800000.0,400000.0,80.0,-9821.489882588086,-9941.489882588083,-602.9797651761371,-842.9797651761282,-19040.000000000036,-0.023800000000000043,-1428.1490355906772,-7908.149035590452,-22536.298071181358,-35496.29807118088,19679.999999999993,2012
55,2012-07-02,2012-08-01,1.0166,1.0053,1.015905832389581,1.015805832389581,800000.0,400000.0,80.0,-4797.667044167486,-4917.667044167481,-555.33408833508,-795.3340883350711,-9039.999999999893,-0.011299999999999866,-6225.816079758163,-12825.816079757933,-23091.632159516437,-36291.632159515946,10640.0000000001,2012
56,2012-08-01,2012-09-03,1.0053,0.9856,1.004580092927981,1.004480092927981,800000.0,400000.0,80.0,-8167.962828807696,-8287.962828807691,-575.9256576153505,-815.9256576153416,-15760.00000000004,-0.01970000000000005,-14393.778908565859,-21113.778908565626,-23667.557817131787,-37107.55781713129,-5119.99999999994,2012
57,2012-09-03,2012-10-01,0.9856,0.9821,0.984877810436564,0.984777810436564,800000.0,400000.0,80.0,-1688.8758253744472,-1808.875825374443,-577.7516507488479,-817.751650748839,-2800.000000000047,-0.0035000000000000586,-16082.654733940306,-22922.654733940068,-24245.309467880634,-37925.30946788013,-7919.999999999987,2012
