Contract_ID,Contract_Date,Next_3M_Date,Start_Spot,End_Spot,Contract_Forward,Exposure,Partial_Hedged,Unhedged,Spot_Change
17,2009-05-01,2009-08-03,1.1851,1.0657,1.1849223327170055,800000.0,-142.13382639560734,-95519.99999999996,-0.11939999999999995
18,2009-06-01,2009-09-01,1.0907,1.1035,1.0905092228885558,800000.0,-152.62168915537444,10239.999999999938,0.012799999999999923
19,2009-07-01,2009-10-01,1.1483,1.0836,1.1480991679992003,800000.0,-160.66560063983104,-51760.00000000016,-0.0647000000000002
20,2009-08-03,2009-11-02,1.0657,1.0778,1.0655934912425356,800000.0,-85.20700597163255,9680.0,0.0121
21,2009-09-01,2009-12-01,1.1035,1.0465,1.1033069888308638,800000.0,-154.40893530893618,-45599.99999999995,-0.05699999999999994
22,2009-10-01,2010-01-01,1.0836,1.0517,1.0832750986957174,800000.0,-259.92104342602573,-25519.999999999854,-0.03189999999999982
23,2009-11-02,2010-02-01,1.0778,1.0616,1.0773691169856578,800000.0,-344.7064114737941,-12959.999999999995,-0.016199999999999992
24,2009-12-01,2010-03-01,1.0465,1.0418,1.0460816301034432,800000.0,-334.6959172453978,-3759.9999999999413,-0.0046999999999999265
25,2010-01-01,2010-04-01,1.0517,1.0084,1.051358359779105,800000.0,-273.31217671608954,-34640.000000000095,-0.043300000000000116
26,2010-02-01,2010-05-03,1.0616,1.0106,1.0614408236705322,800000.0,-127.34106357434882,-40800.000000000124,-0.051000000000000156
27,2010-03-01,2010-06-01,1.0418,1.0549,1.0417218962415034,800000.0,-62.48300679736474,10479.99999999991,0.01309999999999989
28,2010-04-01,2010-07-01,1.0084,1.0588,1.0080976916158688,800000.0,-241.84670730491575,40320.0,0.0504
29,2010-05-03,2010-08-02,1.0106,1.023,1.0100447114063786,800000.0,-444.2308748970447,9919.999999999973,0.012399999999999967
30,2010-06-01,2010-09-01,1.0549,1.0499,1.0541360569359468,800000.0,-611.1544512425127,-3999.9999999999145,-0.004999999999999893
31,2010-07-01,2010-10-01,1.0588,1.02,1.0579275805243444,800000.0,-697.9355805244224,-31039.999999999956,-0.038799999999999946
32,2010-08-02,2010-11-01,1.023,1.0157,1.0217488581055785,800000.0,-1000.9135155371496,-5839.99999999989,-0.007299999999999862
33,2010-09-01,2010-12-01,1.0499,1.0166,1.0484065061143,800000.0,-1194.795108560065,-26640.000000000087,-0.03330000000000011
34,2010-10-01,2011-01-03,1.02,0.9932,1.0181934292912913,800000.0,-1445.2565669669682,-21440.000000000036,-0.026800000000000046
35,2010-11-01,2011-02-01,1.0157,0.9903,1.0136985957298217,800000.0,-1601.1234161426912,-20320.000000000073,-0.02540000000000009
36,2010-12-01,2011-03-01,1.0166,0.974,1.014445165955961,800000.0,-1723.8672352311469,-34079.99999999998,-0.04259999999999997
37,2011-01-03,2011-04-01,0.9932,0.9634,0.9911441468402412,800000.0,-1644.6825278070064,-23839.99999999995,-0.029799999999999938
38,2011-02-01,2011-05-02,0.9903,0.9502,0.9883240927796484,800000.0,-1580.7257762812555,-32079.99999999993,-0.040099999999999913
39,2011-03-01,2011-06-01,0.974,0.9773,0.9720323232323232,800000.0,-1574.1414141413834,2639.999999999976,0.0032999999999999696
40,2011-04-01,2011-07-01,0.9634,0.9585,0.9613574728125313,800000.0,-1634.021749975023,-3920.0000000000123,-0.0049000000000000155
41,2011-05-02,2011-08-01,0.9502,0.9566,0.9480198269197198,800000.0,-1744.138464224232,5119.999999999969,0.006399999999999961
42,2011-06-01,2011-09-01,0.9773,0.9759,0.9751062850729516,800000.0,-1754.9719416386722,-1119.9999999999654,-0.0013999999999999568
43,2011-07-01,2011-10-03,0.9585,1.0545,0.9563244706058416,800000.0,-1740.42351532675,76799.99999999999,0.09599999999999997
44,2011-08-01,2011-11-01,0.9566,1.0198,0.9546434700189566,800000.0,-1565.2239848347626,50560.00000000003,0.06320000000000003
45,2011-09-01,2011-12-01,0.9759,1.0139,0.9736849774274812,800000.0,-1772.0180580150568,30400.000000000025,0.038000000000000034
46,2011-10-03,2012-01-02,1.0545,1.0195,1.0523690592021555,800000.0,-1704.7526382755862,-27999.999999999935,-0.03499999999999992
47,2011-11-01,2012-02-01,1.0198,0.9988,1.017561420838634,800000.0,-1790.8633290927512,-16800.000000000015,-0.02100000000000002
48,2011-12-01,2012-03-01,1.0139,0.9856,1.011750084817642,800000.0,-1719.9321458864601,-22639.999999999993,-0.028299999999999992
49,2012-01-02,2012-04-02,1.0195,0.9905,1.01743978744106,800000.0,-1648.1700471521422,-23200.000000000022,-0.029000000000000026
50,2012-02-01,2012-05-01,0.9988,0.9858,0.9967320910973086,800000.0,-1654.3271221530986,-10400.00000000001,-0.013000000000000012
51,2012-03-01,2012-06-01,0.9856,1.0404,0.9835104581847206,800000.0,-1671.633452223542,43839.99999999997,0.05479999999999996
52,2012-04-02,2012-07-02,0.9905,1.0166,0.9884247231367854,800000.0,-1660.2214905717005,20879.99999999992,0.0260999999999999
53,2012-05-01,2012-08-01,0.9858,1.0053,0.9834157532538772,800000.0,-1907.3973968982473,15600.000000000058,0.019500000000000073
54,2012-06-01,2012-09-03,1.0404,0.9856,1.038142435277099,800000.0,-1806.0517783208497,-43839.99999999997,-0.05479999999999996
55,2012-07-02,2012-10-01,1.0166,0.9821,1.0146726039016116,800000.0,-1541.9168787106585,-27599.99999999998,-0.034499999999999975
56,2012-08-01,2012-11-01,1.0053,0.9964,1.0030937453239563,800000.0,-1765.0037408349917,-7120.000000000104,-0.00890000000000013
